"title","wikibase_item","Distributor"
"شاهگوش","Q20110526","distributor = [[شرکت تصویرگستر پاسارگاد]]{{سخ}}[[پخش دنیای هنر]] "
"مأموریت: غیرممکن – روزشمار مرگ قسمت دوم","Q61876374","distributor = [[پارامونت پیکچرز]] "
"سکس و سیتی ۲","Q739502","distributor = [[برادران وارنر]] "
"آبشار جاذبه","Q550555","distributor = تلویزیون انیمیشن دیزنی "
"مدیر کل (مجموعه تلویزیونی)","Q6401764","distributor = | network = "
"هتل هوس","Q1630873","distributor = <!-- or: "
"ریک و مورتی","Q15659308","distributor = [[وارنر برادرز تله‌ویژن]] "
"آب عمیق (فیلم ۲۰۲۲)","Q73537513","distributor = {{فهرست ساده"
"کیمیای روح","Q110890248","distributor = [[تی‌وی‌ان (شبکه تلویزیونی کره جنوبی)"
"جوخه انتحار (فیلم ۲۰۱۶)","Q18604504","distributor = [[وارنر برادرز]] "
"لورنس عربستان (فیلم)","Q228186","distributor = [[کلمبیا پیکچرز]]<ref name=""Lawrence of Arabia 1962"">[https://catalog.afi.com/Catalog/MovieDetails/23993 ""Lawrence of Arabia (1962)""] {{Webarchive"
"ددپول (فیلم)","Q19347291","distributor = فاکس قرن بیستم "
"مرد ایرلندی (فیلم ۲۰۱۹)","Q29057443","distributor = [[نت‌فلیکس]] "
"نفرین لیورونا","Q48674258","distributor = [[برادران وارنر]] "
"خروج (فیلم ۱۳۹۸)","Q85508845","distributor = [[فیلمیران]]{{سخ}}[[فیلیمو]] و [[نماوا]] (اکران آنلاین) "
"امام علی (مجموعه تلویزیونی)","Q5952247","distributor = | channel = [[شبکه یک سیما]] "
"دشمن (فیلم ۲۰۱۳)","Q2844879","distributor = {{Plain list "
"بانوی بهشت","Q104646669","distributor = | released ={{Film date"
"علاءالدین (فیلم ۲۰۱۹)","Q27188178","distributor = [[استودیو سینمایی والت دیزنی]] "
"سیاه‌چاله (مجموعه نمایش خانگی)","Q120122531","distributor = [[فیلم‌نت]] "
"مجازاتگر (مجموعه تلویزیونی)","Q27089570","distributor = [[نتفلیکس]] "
"گرینلند (فیلم)","Q73897733","distributor = [[اس‌تی‌اکس انترتینمنت]] "
"اداره (مجموعه تلویزیونی آمریکایی)","Q23831","distributor = توزیع تلویزیون ان بی سی یونیورسال "
"قصه‌های مجید","Q5938326","distributor = | channel = <!-- or network --> "
"باورکن: ربوده شدن لیزا مک‌وی","Q86755386","distributor = | budget = "
"داستان عشق راکی و رانی","Q108392396","distributor = {{Ubl"
"دان جان","Q499918","distributor = [[رلتیویتی مدیا]]<ref>{{یادکرد وب"
"بتمن در برابر سوپرمن: طلوع عدالت","Q14772351","distributor = [[برادران وارنر]]<ref name=afi/> "
"ملکه گدایان","Q106181087","distributor = [[هنر اول]]{{سخ}}[[فیلیمو]] "
"دامر – هیولا: داستان جفری دامر","Q106188426","distributor = سرویس استریمینگ نتفلیکس "
"میوه ممنوعه (مجموعه تلویزیونی)","Q5948655","distributor = | channel = [[شبکه ۲]] "
"دابلیو (مجموعه تلویزیونی)","Q22774205","distributor = [[بنگاه پخش مونهوا"
"مرد عنکبوتی شگفت‌انگیز (فیلم)","Q229808","distributor = [[گروه سینمایی سونی پیکچرز]] "
"دانکرک (فیلم ۲۰۱۷)","Q21935651","distributor = برادران وارنر پیکچرز "
"پس از سقوط ما","Q105807015","distributor = [[ولتیج پیکچرز]] "
"پنت‌هاوس: جنگ در زندگی","Q85987403","distributor = [[سیستم پخش سئول]] "
"لیگ عدالت زک اسنایدر","Q94998134","distributor = {{Plainlist"
"معمای شاه","Q16047831","distributor = | channel = [[شبکه یک]] "
"نابودگر (فیلم ۱۹۸۴)","Q162255","distributor = [[اوریون پیکچرز]] "
"فرینج","Q3815","distributor = |creator = [[جی. جی. آبرامز]]{{سخ}}[[الکس کورتزمن]]{{سخ}}[[روبرتو ارسی]] "
"مرداب آبی (فیلم ۱۹۸۰)","Q83767","distributor = [[کلمبیا پیکچرز]] "
"کودا (فیلم ۲۰۲۱)","Q104686893","distributor = [[اپل تی‌وی پلاس]] "
"تری‌سام (فیلم)","Q1308638","distributor = [[ترایستار پیکچرز]] "
"مرد آهنی (فیلم ۲۰۰۸)","Q192724","distributor = [[پارامونت پیکچرز]] "
"بی‌خوابی (فیلم ۲۰۰۲)","Q429969","distributor = [[وارنر برادرز]] "
"معلم پیانو (فیلم)","Q159690","distributor = | released = {{Film date"
"زنان کوچک (فیلم ۲۰۱۹)","Q56881140","distributor = [[گروه سینمای سونی پیکچرز]] "
"به دل نگیر (فیلم ۲۰۲۳)","Q114397511","distributor = [[گروه سینمایی سونی پیکچرز]] "
"لیگ عدالت (فیلم)","Q20501835","distributor = برادران وارنر پیکچرز "
"تین ولف","Q836393","distributor = | channel = [[ام‌تی‌وی]] "
"قطار بوسان","Q20948236","distributor = نکست اینترتینمنت ورلد "
"روزی روزگاری (مجموعه تلویزیونی ترکی)","Q557505","distributor = <!-- توزیع‌کننده --> "
"از طریق پنجره من (فیلم)","Q110833192","distributor = [[نتفلیکس]] "
"گارد ساحلی (فیلم)","Q23016495","distributor = [[پارامونت پیکچرز]]<ref name=insight/> "
"آکوامن (فیلم)","Q22998395","distributor = [[برادران وارنر]] "
"پسران فراتر از گل‌ها","Q482653","distributor = | channel = KBS2 "
"گلشیفته (مجموعه نمایش خانگی)","Q56361252","distributor = مؤسسه سرو رسانه پارسیان "
"ایسان (مجموعه تلویزیونی)","Q467896","distributor = | channel = [[بنگاه پخش مونهوا]] "
"اف۹ (فیلم)","Q29466808","distributor = [[یونیورسال پیکچرز]] "
"ثور: عشق و آذرخش","Q65768604","distributor = [[استودیو سینمایی والت دیزنی]] "
"میدان سرخ (مجموعه نمایش خانگی)",NA,"distributor = | company = <!-- شرکت(ها) تولیدکننده --> "
"فیلم آبی","Q885812","distributor = اندی وارهول فیلمز "
"ما (فیلم ۲۰۱۹)","Q56000996","distributor = [[یونیورسال استودیوز]] "
"پری دریایی کوچولو (فیلم ۲۰۲۳)","Q24357415","distributor = [[استودیو سینمایی والت دیزنی]] "
