"title","wikibase_item","Studio"
"پرتره یک فاحشه تلفنی","Q7232318","studio = الگنت انجل "
"حوض نقاشی","Q6461790","studio = | distributor = حوزه هنری "
"او از من متنفر است","Q519592","studio = | distributor = "
"جنگ ستارگان: خیزش اسکای‌واکر","Q20977110","studio = {{فهرست ساده"
"هوس (فیلم ۱۹۸۷)","Q3282520","studio = | distributor = "
"چگونه اژدهای خود را تربیت کنیم","Q373096","studio = [[دریم‌ورکس انیمیشن]] "
"کرید (فیلم)","Q18822138","studio = {{فهرست ساده"
"تازه بودن","Q28212128","studio = [[انترتینمنت وان]] "
"گودزیلا در برابر کونگ","Q56307503","studio = [[لجندری پیکچرز]] "
"لاک‌پشت‌های نینجای جهش‌یافته نوجوان: آشوب جهش‌یافته","Q110271518","studio = {{فهرست ساده"
"سونیک خارپشت ۲ (فیلم)","Q105970894","studio = {{فهرست ساده"
"تحقیر (فیلم ۲۰۱۴)","Q16985254","studio = Ambi Pictures{{-}}Hammerton Productions "
"مرد عنکبوتی شگفت‌انگیز ۲","Q4254026","studio = {{فهرست ساده"
"کاپیتان مارول (فیلم)","Q23781129","studio = [[مارول استودیوز]] "
"استروید سیتی","Q108086029","studio = {{فهرست ساده"
"پری دریایی کوچولو (فیلم ۱۹۸۹)","Q190135","studio = {{فهرست ساده"
"کاپیتان آمریکا: سرباز زمستان","Q1765358","studio = [[مارول استودیوز]] "
"کارآموز (فیلم ۲۰۱۵)","Q18151084","studio = | distributor = [[وارنر برادرز]] "
"علاءالدین (فیلم ۱۹۹۲)","Q215518","studio = [[والت دیزنی پیکچرز]]{{سخ}}[[استودیو انیمیشن والت دیزنی]] "
"سقوط شاهین سیاه (فیلم)","Q221384","studio = [[رولوشن استودیوز]] "
